method,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,feature_group,n_features,input_channels
snnTorch,0.6551724137931034,0.6551724137931034,0.6562955045388357,0.6562955045388357,116,all,7,21
spike_delta,0.646551724137931,0.646551724137931,0.628041656827264,0.628041656827264,116,tonic,2,6
RBFSVM,0.6379310344827587,0.6379310344827586,0.6212948971604992,0.6212948971604992,116,tonic,2,6
RBFSVM,0.603448275862069,0.603448275862069,0.5709731601519585,0.5709731601519586,116,all,7,21
LogisticRegression,0.5948275862068966,0.5948275862068966,0.5553908651734739,0.5553908651734739,116,all,7,21
spike_delta,0.5862068965517241,0.5862068965517242,0.5680332739156269,0.5680332739156269,116,all,7,21
LinearSVM,0.5862068965517241,0.5862068965517242,0.5538722241058086,0.5538722241058086,116,all,7,21
LinearSVM,0.5775862068965517,0.5775862068965517,0.5439699429487332,0.5439699429487332,116,tonic,2,6
snnTorch,0.5775862068965517,0.5775862068965516,0.5562714669010069,0.5562714669010069,116,tonic,2,6
LogisticRegression,0.5603448275862069,0.560344827586207,0.5054099388737353,0.5054099388737354,116,tonic,2,6
RBFSVM,0.5517241379310345,0.5517241379310345,0.5109577922077922,0.5109577922077922,116,phasic,3,9
LinearSVM,0.5258620689655172,0.5258620689655172,0.46308719433719436,0.46308719433719436,116,phasic,3,9
spike_delta,0.5172413793103449,0.5172413793103448,0.48648679678530427,0.4864867967853043,116,phasic,3,9
LogisticRegression,0.5086206896551724,0.5086206896551724,0.4466457063374549,0.44664570633745493,116,phasic,3,9
snnTorch,0.5,0.5,0.471534386162641,0.47153438616264104,116,phasic,3,9
LinearSVM,0.4827586206896552,0.4827586206896552,0.3999169999207359,0.39991699992073587,116,psd,2,6
LogisticRegression,0.4827586206896552,0.48275862068965514,0.4038279041593754,0.40382790415937536,116,psd,2,6
spike_delta,0.45689655172413796,0.4568965517241379,0.4142743926005612,0.41427439260056126,116,psd,2,6
snnTorch,0.4482758620689655,0.4482758620689655,0.4021422053740976,0.4021422053740976,116,psd,2,6
RBFSVM,0.4482758620689655,0.4482758620689655,0.39102601267779835,0.3910260126777984,116,psd,2,6
