hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,learn_beta,learn_threshold,threshold,reset_mechanism,surrogate_grad,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,feature_group,n_features,input_channels
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,1.0,subtract,fast_sigmoid,0.6551724137931034,0.6551724137931034,0.6562955045388357,0.6562955045388357,116,29,5,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,1.25,subtract,fast_sigmoid,0.6293103448275862,0.6293103448275862,0.6230062704654356,0.6230062704654356,116,29,9,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,0.75,subtract,atan,0.603448275862069,0.603448275862069,0.5997054464117282,0.5997054464117282,116,29,2,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,1.25,zero,fast_sigmoid,0.603448275862069,0.603448275862069,0.5994663611777757,0.5994663611777756,116,29,11,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,1.0,zero,atan,0.5948275862068966,0.5948275862068966,0.5983010539798783,0.5983010539798784,116,29,8,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,0.75,zero,atan,0.5948275862068966,0.5948275862068966,0.5849947819280775,0.5849947819280775,116,29,4,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,1.0,zero,fast_sigmoid,0.5948275862068966,0.5948275862068966,0.5845973135016719,0.584597313501672,116,29,7,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,1.0,subtract,atan,0.5862068965517241,0.5862068965517242,0.5841522807322694,0.5841522807322694,116,29,6,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,0.75,zero,fast_sigmoid,0.5862068965517241,0.5862068965517242,0.5839040213786664,0.5839040213786665,116,29,3,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,1.25,zero,atan,0.5862068965517241,0.5862068965517242,0.579827055691999,0.579827055691999,116,29,12,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,0.75,subtract,fast_sigmoid,0.5862068965517241,0.5862068965517242,0.5784441227914469,0.5784441227914469,116,29,1,all,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.0001,False,False,1.25,subtract,atan,0.5603448275862069,0.5603448275862069,0.5586511279806716,0.5586511279806717,116,29,10,all,7,21
