feature_set,encoding,T,max_spikes,epochs,lr,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,method,config_id,n_features,n_subjects
no_count_plus_symp_ratio,population,30,10,400,0.05,0.6637931034482759,0.6637931034482758,0.657304658351988,0.6573046583519881,116,delta,47,7,29
no_count_plus_symp_ratio,population,75,10,400,0.05,0.6637931034482759,0.6637931034482758,0.657304658351988,0.6573046583519881,116,delta,53,7,29
no_count_plus_symp_ratio,population,50,10,400,0.05,0.6637931034482759,0.6637931034482758,0.657304658351988,0.6573046583519881,116,delta,50,7,29
no_count_plus_symp_ratio,population,30,6,400,0.05,0.6551724137931034,0.6551724137931034,0.6543247242399785,0.6543247242399785,116,delta,46,7,29
no_count_plus_symp_ratio,population,75,6,400,0.05,0.6551724137931034,0.6551724137931034,0.6543247242399785,0.6543247242399785,116,delta,52,7,29
no_count_plus_symp_ratio,population,50,6,400,0.05,0.6551724137931034,0.6551724137931034,0.6543247242399785,0.6543247242399785,116,delta,49,7,29
all_7_plus_symp_ratio,population,50,10,400,0.05,0.6293103448275862,0.6293103448275862,0.6275413109043796,0.6275413109043796,116,delta,32,8,29
all_7_plus_symp_ratio,population,75,10,400,0.05,0.6293103448275862,0.6293103448275862,0.6275413109043796,0.6275413109043796,116,delta,35,8,29
no_count_plus_symp_ratio,population,75,15,400,0.05,0.6293103448275862,0.6293103448275862,0.6266656925774401,0.6266656925774401,116,delta,54,7,29
all_7_plus_symp_ratio,population,30,10,400,0.05,0.6293103448275862,0.6293103448275862,0.6275413109043796,0.6275413109043796,116,delta,29,8,29
no_count_plus_symp_ratio,population,30,15,400,0.05,0.6293103448275862,0.6293103448275862,0.6266656925774401,0.6266656925774401,116,delta,48,7,29
no_count_plus_symp_ratio,population,50,15,400,0.05,0.6293103448275862,0.6293103448275862,0.6266656925774401,0.6266656925774401,116,delta,51,7,29
all_7_plus_symp_ratio,population,75,15,400,0.05,0.6206896551724138,0.6206896551724138,0.6248116760828626,0.6248116760828625,116,delta,36,8,29
all_7_plus_symp_ratio,population,75,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6251893869890484,0.6251893869890482,116,delta,34,8,29
all_7_plus_symp_ratio,population,50,15,400,0.05,0.6206896551724138,0.6206896551724138,0.6248116760828626,0.6248116760828625,116,delta,33,8,29
all_7_plus_symp_ratio,population,50,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6251893869890484,0.6251893869890482,116,delta,31,8,29
all_7_plus_symp_ratio,population,30,15,400,0.05,0.6206896551724138,0.6206896551724138,0.6248116760828626,0.6248116760828625,116,delta,30,8,29
all_7_plus_symp_ratio,population,30,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6251893869890484,0.6251893869890482,116,delta,28,8,29
all_7_norm,population,75,15,400,0.05,0.6206896551724138,0.6206896551724138,0.6173923071464055,0.6173923071464056,116,delta,18,7,29
all_7_norm,population,30,15,400,0.05,0.6206896551724138,0.6206896551724138,0.6173923071464055,0.6173923071464056,116,delta,12,7,29
all_7_norm,population,50,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6191716210224936,0.6191716210224937,116,delta,13,7,29
all_7_norm,population,30,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6191716210224936,0.6191716210224937,116,delta,10,7,29
all_7_norm,population,50,15,400,0.05,0.6206896551724138,0.6206896551724138,0.6173923071464055,0.6173923071464056,116,delta,15,7,29
all_7_norm,population,75,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6191716210224936,0.6191716210224937,116,delta,16,7,29
all_7_norm,population,75,10,400,0.05,0.6120689655172413,0.6120689655172413,0.6026039833470213,0.6026039833470211,116,delta,17,7,29
all_7_norm,population,30,10,400,0.05,0.6120689655172413,0.6120689655172413,0.6026039833470213,0.6026039833470211,116,delta,11,7,29
all_7_norm,population,50,10,400,0.05,0.6120689655172413,0.6120689655172413,0.6026039833470213,0.6026039833470211,116,delta,14,7,29
no_count_plus_symp_ratio,rate,75,10,400,0.05,0.5862068965517241,0.5862068965517242,0.5467086834733894,0.5467086834733894,116,delta,43,7,29
no_count_plus_symp_ratio,rate,30,10,400,0.05,0.5862068965517241,0.5862068965517242,0.5467086834733894,0.5467086834733894,116,delta,37,7,29
no_count_plus_symp_ratio,rate,50,10,400,0.05,0.5862068965517241,0.5862068965517242,0.5467086834733894,0.5467086834733894,116,delta,40,7,29
no_count_plus_symp_ratio,rate,75,20,400,0.05,0.5775862068965517,0.5775862068965517,0.5379714676568301,0.5379714676568302,116,delta,45,7,29
no_count_plus_symp_ratio,rate,50,20,400,0.05,0.5775862068965517,0.5775862068965517,0.5379714676568301,0.5379714676568302,116,delta,42,7,29
no_count_plus_symp_ratio,rate,30,20,400,0.05,0.5775862068965517,0.5775862068965517,0.5379714676568301,0.5379714676568302,116,delta,39,7,29
no_count_plus_symp_ratio,rate,50,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5251885369532429,0.5251885369532429,116,delta,41,7,29
no_count_plus_symp_ratio,rate,75,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5251885369532429,0.5251885369532429,116,delta,44,7,29
all_7_norm,rate,75,20,400,0.05,0.5689655172413793,0.5689655172413793,0.5138689114089572,0.5138689114089572,116,delta,9,7,29
all_7_norm,rate,75,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5138689114089572,0.5138689114089572,116,delta,8,7,29
all_7_norm,rate,50,20,400,0.05,0.5689655172413793,0.5689655172413793,0.5138689114089572,0.5138689114089572,116,delta,6,7,29
all_7_norm,rate,50,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5138689114089572,0.5138689114089572,116,delta,5,7,29
all_7_norm,rate,30,20,400,0.05,0.5689655172413793,0.5689655172413793,0.5138689114089572,0.5138689114089572,116,delta,3,7,29
all_7_plus_symp_ratio,rate,30,10,400,0.05,0.5689655172413793,0.5689655172413793,0.52507674250632,0.52507674250632,116,delta,19,8,29
no_count_plus_symp_ratio,rate,30,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5251885369532429,0.5251885369532429,116,delta,38,7,29
all_7_plus_symp_ratio,rate,30,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5245098039215687,0.5245098039215687,116,delta,20,8,29
all_7_norm,rate,30,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5138689114089572,0.5138689114089572,116,delta,2,7,29
all_7_plus_symp_ratio,rate,75,20,400,0.05,0.5689655172413793,0.5689655172413793,0.5251422764227642,0.5251422764227642,116,delta,27,8,29
all_7_plus_symp_ratio,rate,75,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5245098039215687,0.5245098039215687,116,delta,26,8,29
all_7_plus_symp_ratio,rate,75,10,400,0.05,0.5689655172413793,0.5689655172413793,0.52507674250632,0.52507674250632,116,delta,25,8,29
all_7_plus_symp_ratio,rate,50,20,400,0.05,0.5689655172413793,0.5689655172413793,0.5251422764227642,0.5251422764227642,116,delta,24,8,29
all_7_plus_symp_ratio,rate,50,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5245098039215687,0.5245098039215687,116,delta,23,8,29
all_7_plus_symp_ratio,rate,50,10,400,0.05,0.5689655172413793,0.5689655172413793,0.52507674250632,0.52507674250632,116,delta,22,8,29
all_7_plus_symp_ratio,rate,30,20,400,0.05,0.5689655172413793,0.5689655172413793,0.5251422764227642,0.5251422764227642,116,delta,21,8,29
all_7_norm,rate,75,10,400,0.05,0.5517241379310345,0.5517241379310345,0.494209746953308,0.49420974695330794,116,delta,7,7,29
all_7_norm,rate,50,10,400,0.05,0.5517241379310345,0.5517241379310345,0.494209746953308,0.49420974695330794,116,delta,4,7,29
all_7_norm,rate,30,10,400,0.05,0.5517241379310345,0.5517241379310345,0.494209746953308,0.49420974695330794,116,delta,1,7,29
