hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
64,0.95,100,0.005,population,30,10,3,0.25,0.6551724137931034,0.6551724137931034,0.6562955045388357,0.6562955045388357,116,29,234,7,21
64,0.85,200,0.001,population,30,10,3,0.25,0.6379310344827587,0.6379310344827587,0.6324728742071541,0.632472874207154,116,29,186,7,21
64,0.9,100,0.005,population,30,6,3,0.25,0.6293103448275862,0.6293103448275863,0.6173871849109819,0.6173871849109818,116,29,206,7,21
16,0.95,200,0.005,population,30,10,3,0.25,0.6293103448275862,0.6293103448275863,0.6169534160675867,0.6169534160675868,116,29,81,7,21
16,0.85,200,0.005,population,30,6,3,0.25,0.6293103448275862,0.6293103448275863,0.6253818194440313,0.6253818194440312,116,29,26,7,21
64,0.85,50,0.005,population,30,10,3,0.25,0.6293103448275862,0.6293103448275862,0.6240975272136946,0.6240975272136946,116,29,171,7,21
64,0.9,200,0.001,population,30,10,3,0.25,0.6293103448275862,0.6293103448275862,0.6216825713336182,0.6216825713336182,116,29,213,7,21
64,0.85,200,0.0005,population,30,10,3,0.25,0.6293103448275862,0.6293103448275861,0.6195198489412399,0.6195198489412399,116,29,183,7,21
64,0.9,50,0.005,population,30,10,3,0.25,0.6206896551724138,0.6206896551724138,0.6137998160457946,0.6137998160457946,116,29,198,7,21
64,0.95,200,0.001,population,30,10,3,0.25,0.6206896551724138,0.6206896551724138,0.6135024624924196,0.6135024624924197,116,29,240,7,21
64,0.85,100,0.005,population,30,6,3,0.25,0.6206896551724138,0.6206896551724138,0.6096701795472288,0.6096701795472287,116,29,179,7,21
16,0.9,100,0.005,population,30,6,3,0.25,0.6206896551724138,0.6206896551724137,0.6075548826893742,0.6075548826893743,116,29,44,7,21
64,0.85,50,0.005,population,30,6,3,0.25,0.6206896551724138,0.6206896551724137,0.606838313061872,0.6068383130618721,116,29,170,7,21
64,0.95,100,0.005,population,30,6,3,0.25,0.6120689655172413,0.6120689655172414,0.6013289487250449,0.6013289487250448,116,29,233,7,21
16,0.85,100,0.005,population,30,10,3,0.25,0.6120689655172413,0.6120689655172413,0.6046205138947074,0.6046205138947075,116,29,18,7,21
64,0.9,100,0.005,population,30,4,3,0.25,0.6120689655172413,0.6120689655172413,0.6066041973967526,0.6066041973967525,116,29,205,7,21
64,0.85,200,0.005,population,30,6,3,0.25,0.6120689655172413,0.6120689655172413,0.6077753058954394,0.6077753058954394,116,29,188,7,21
64,0.95,200,0.005,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.6047619047619047,0.6047619047619047,116,29,242,7,21
64,0.9,200,0.005,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.5969929325097427,0.5969929325097427,116,29,215,7,21
64,0.85,200,0.001,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.5905770756213643,0.5905770756213642,116,29,185,7,21
64,0.95,200,0.005,population,30,4,3,0.25,0.603448275862069,0.603448275862069,0.5949774332915233,0.5949774332915232,116,29,241,7,21
64,0.95,200,0.001,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.5861301539990065,0.5861301539990065,116,29,239,7,21
64,0.85,200,0.0005,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.5886310470237769,0.5886310470237769,116,29,182,7,21
64,0.95,200,0.0005,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.586752267595392,0.5867522675953921,116,29,236,7,21
32,0.9,100,0.005,population,30,6,3,0.25,0.5948275862068966,0.5948275862068966,0.589548584103938,0.5895485841039378,116,29,125,7,21
64,0.9,200,0.0005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5798749725897363,0.5798749725897364,116,29,210,7,21
16,0.9,200,0.005,population,30,6,3,0.25,0.5948275862068966,0.5948275862068966,0.584920745272525,0.584920745272525,116,29,53,7,21
64,0.85,100,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5874005009263706,0.5874005009263707,116,29,180,7,21
32,0.85,100,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5881207394138428,0.5881207394138429,116,29,99,7,21
64,0.9,100,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5935574229691877,0.5935574229691877,116,29,207,7,21
32,0.85,50,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5850862068965517,0.5850862068965518,116,29,90,7,21
16,0.95,100,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5746157374704329,0.5746157374704329,116,29,72,7,21
16,0.85,200,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.586310426122911,0.5863104261229111,116,29,27,7,21
16,0.95,100,0.005,population,30,6,3,0.25,0.5948275862068966,0.5948275862068966,0.582460403876091,0.582460403876091,116,29,71,7,21
16,0.85,200,0.001,population,30,6,3,0.25,0.5948275862068966,0.5948275862068966,0.5873612602935911,0.587361260293591,116,29,23,7,21
32,0.9,100,0.005,population,30,10,3,0.25,0.5862068965517241,0.5862068965517242,0.5787208267670108,0.5787208267670108,116,29,126,7,21
64,0.9,200,0.001,population,30,6,3,0.25,0.5862068965517241,0.5862068965517242,0.57782523374236,0.57782523374236,116,29,212,7,21
32,0.9,200,0.001,population,30,6,3,0.25,0.5862068965517241,0.5862068965517242,0.5741204417051875,0.5741204417051875,116,29,131,7,21
64,0.85,200,0.005,population,30,4,3,0.25,0.5862068965517241,0.5862068965517242,0.5735840889529414,0.5735840889529413,116,29,187,7,21
64,0.9,200,0.005,population,30,10,3,0.25,0.5862068965517241,0.5862068965517242,0.5872021535887082,0.5872021535887082,116,29,216,7,21
32,0.9,200,0.005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517242,0.584971983250585,0.584971983250585,116,29,134,7,21
16,0.9,200,0.005,population,30,4,3,0.25,0.5862068965517241,0.5862068965517242,0.5794631149614352,0.5794631149614353,116,29,52,7,21
16,0.85,100,0.005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517242,0.5791560641458708,0.579156064145871,116,29,17,7,21
16,0.95,200,0.005,population,30,4,3,0.25,0.5862068965517241,0.5862068965517241,0.5677689154757949,0.5677689154757949,116,29,79,7,21
64,0.85,100,0.001,population,30,10,3,0.25,0.5862068965517241,0.5862068965517241,0.5643542962244814,0.5643542962244815,116,29,177,7,21
32,0.95,200,0.005,population,30,10,3,0.25,0.5862068965517241,0.5862068965517241,0.5870200024121648,0.5870200024121648,116,29,162,7,21
16,0.95,200,0.005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517241,0.570007549416781,0.570007549416781,116,29,80,7,21
32,0.85,100,0.001,population,30,10,3,0.25,0.5862068965517241,0.5862068965517241,0.5751446460192982,0.575144646019298,116,29,96,7,21
64,0.9,200,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965518,0.5742318160993882,0.5742318160993882,116,29,214,7,21
64,0.95,200,0.005,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5813841570544649,0.5813841570544649,116,29,243,7,21
64,0.9,100,0.001,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5616101943169612,0.5616101943169612,116,29,204,7,21
16,0.9,100,0.005,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5676819594521341,0.567681959452134,116,29,45,7,21
64,0.9,200,0.001,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.5623716595391473,0.5623716595391473,116,29,211,7,21
16,0.85,200,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.5643973878794956,0.5643973878794956,116,29,25,7,21
32,0.85,200,0.001,population,30,10,3,0.25,0.5775862068965517,0.5775862068965517,0.5736536550103912,0.5736536550103912,116,29,105,7,21
64,0.9,200,0.0005,population,30,6,3,0.25,0.5775862068965517,0.5775862068965517,0.566792798390861,0.5667927983908612,116,29,209,7,21
64,0.95,200,0.0005,population,30,10,3,0.25,0.5775862068965517,0.5775862068965516,0.5615496728352358,0.5615496728352357,116,29,237,7,21
64,0.95,50,0.005,population,30,6,3,0.25,0.5689655172413793,0.5689655172413793,0.5434661556930465,0.5434661556930465,116,29,224,7,21
16,0.9,50,0.005,population,30,6,3,0.25,0.5689655172413793,0.5689655172413793,0.5445473984319316,0.5445473984319316,116,29,35,7,21
32,0.95,200,0.005,population,30,6,3,0.25,0.5689655172413793,0.5689655172413793,0.5647268714891666,0.5647268714891666,116,29,161,7,21
64,0.95,100,0.001,population,30,10,3,0.25,0.5689655172413793,0.5689655172413793,0.5471470630977819,0.5471470630977819,116,29,231,7,21
32,0.95,100,0.005,population,30,10,3,0.25,0.5689655172413793,0.5689655172413793,0.5626503185348304,0.5626503185348304,116,29,153,7,21
16,0.9,200,0.005,population,30,10,3,0.25,0.5689655172413793,0.5689655172413793,0.5663506609358527,0.5663506609358527,116,29,54,7,21
64,0.95,100,0.001,population,30,6,3,0.25,0.5689655172413793,0.5689655172413792,0.5480719015115825,0.5480719015115825,116,29,230,7,21
16,0.95,200,0.001,population,30,10,3,0.25,0.5689655172413793,0.5689655172413792,0.5425029797104791,0.5425029797104791,116,29,78,7,21
64,0.95,50,0.005,population,30,10,3,0.25,0.5689655172413793,0.5689655172413792,0.5490455827967882,0.5490455827967882,116,29,225,7,21
64,0.9,200,0.0005,population,30,4,3,0.25,0.5689655172413793,0.5689655172413792,0.5490165631469979,0.5490165631469979,116,29,208,7,21
64,0.9,100,0.001,population,30,4,3,0.25,0.5689655172413793,0.5689655172413792,0.5500702029937412,0.5500702029937412,116,29,202,7,21
64,0.95,200,0.0005,population,30,4,3,0.25,0.5689655172413793,0.5689655172413792,0.5463786650721941,0.5463786650721942,116,29,235,7,21
32,0.85,100,0.005,population,30,6,3,0.25,0.5689655172413793,0.5689655172413792,0.5608883091525869,0.5608883091525869,116,29,98,7,21
64,0.95,100,0.0005,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5294377430128562,0.5294377430128562,116,29,227,7,21
16,0.85,50,0.005,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5426274018379281,0.5426274018379281,116,29,9,7,21
16,0.95,200,0.001,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5317977067977068,0.5317977067977068,116,29,77,7,21
16,0.95,200,0.001,population,30,4,3,0.25,0.5603448275862069,0.5603448275862069,0.5218579234972678,0.5218579234972677,116,29,76,7,21
16,0.85,200,0.001,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5482019650217029,0.5482019650217029,116,29,24,7,21
16,0.9,200,0.001,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5420509722899854,0.5420509722899854,116,29,50,7,21
32,0.95,200,0.001,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5366988110637179,0.5366988110637179,116,29,158,7,21
64,0.9,50,0.005,population,30,4,3,0.25,0.5603448275862069,0.5603448275862069,0.5376943746971499,0.53769437469715,116,29,196,7,21
64,0.9,50,0.005,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5495711729162609,0.5495711729162609,116,29,197,7,21
32,0.95,100,0.005,population,30,6,3,0.25,0.5603448275862069,0.5603448275862069,0.5504390008767077,0.5504390008767077,116,29,152,7,21
64,0.9,100,0.0005,population,30,10,3,0.25,0.5603448275862069,0.5603448275862069,0.5401102640169277,0.5401102640169276,116,29,201,7,21
32,0.95,100,0.001,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.5326822129285682,0.5326822129285681,116,29,149,7,21
64,0.85,200,0.001,population,30,4,3,0.25,0.5517241379310345,0.5517241379310345,0.5486800779310026,0.5486800779310026,116,29,184,7,21
64,0.85,200,0.005,population,30,10,3,0.25,0.5517241379310345,0.5517241379310345,0.5490854125840868,0.5490854125840868,116,29,189,7,21
32,0.85,200,0.0005,population,30,4,3,0.25,0.5517241379310345,0.5517241379310345,0.531740515662918,0.531740515662918,116,29,100,7,21
32,0.85,200,0.0005,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.5340401991517609,0.534040199151761,116,29,101,7,21
64,0.85,200,0.0005,population,30,4,3,0.25,0.5517241379310345,0.5517241379310345,0.5427194307953211,0.5427194307953211,116,29,181,7,21
32,0.85,200,0.005,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.5411352361961159,0.541135236196116,116,29,107,7,21
32,0.9,200,0.0005,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.5374948580830934,0.5374948580830934,116,29,128,7,21
