feature_set,encoding,T,max_spikes,epochs,lr,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,method,config_id,n_features,n_subjects
all_7_norm,population,75,10,400,0.05,0.646551724137931,0.646551724137931,0.628584219159213,0.628584219159213,116,delta,17,7,29
all_7_norm,population,30,10,400,0.05,0.646551724137931,0.646551724137931,0.628584219159213,0.628584219159213,116,delta,11,7,29
all_7_norm,population,50,10,400,0.05,0.646551724137931,0.646551724137931,0.628584219159213,0.628584219159213,116,delta,14,7,29
all_7_norm,population,75,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6074711026136241,0.6074711026136242,116,delta,16,7,29
all_7_norm,population,30,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6074711026136241,0.6074711026136242,116,delta,10,7,29
all_7_norm,population,50,6,400,0.05,0.6206896551724138,0.6206896551724138,0.6074711026136241,0.6074711026136242,116,delta,13,7,29
all_7_norm,population,50,15,400,0.05,0.6120689655172413,0.6120689655172413,0.5988501441087648,0.5988501441087648,116,delta,15,7,29
all_7_norm,population,30,15,400,0.05,0.6120689655172413,0.6120689655172413,0.5988501441087648,0.5988501441087648,116,delta,12,7,29
all_7_norm,population,75,15,400,0.05,0.6120689655172413,0.6120689655172413,0.5988501441087648,0.5988501441087648,116,delta,18,7,29
no_count_plus_symp_ratio,rate,50,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5446683599117291,0.5446683599117292,116,delta,40,7,29
no_count_plus_symp_ratio,rate,50,15,400,0.05,0.5948275862068966,0.5948275862068966,0.5437948260254849,0.5437948260254849,116,delta,41,7,29
no_count_plus_symp_ratio,rate,75,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5446683599117291,0.5446683599117292,116,delta,43,7,29
no_count_plus_symp_ratio,rate,75,15,400,0.05,0.5948275862068966,0.5948275862068966,0.5437948260254849,0.5437948260254849,116,delta,44,7,29
no_count_plus_symp_ratio,rate,30,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5446683599117291,0.5446683599117292,116,delta,37,7,29
all_7_plus_symp_ratio,population,75,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5781162464985994,0.5781162464985994,116,delta,35,8,29
all_7_plus_symp_ratio,population,50,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5781162464985994,0.5781162464985994,116,delta,32,8,29
no_count_plus_symp_ratio,rate,30,15,400,0.05,0.5948275862068966,0.5948275862068966,0.5437948260254849,0.5437948260254849,116,delta,38,7,29
no_count_plus_symp_ratio,population,75,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5792152414244387,0.5792152414244387,116,delta,53,7,29
no_count_plus_symp_ratio,population,30,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5792152414244387,0.5792152414244387,116,delta,47,7,29
all_7_plus_symp_ratio,population,30,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5781162464985994,0.5781162464985994,116,delta,29,8,29
no_count_plus_symp_ratio,population,50,10,400,0.05,0.5948275862068966,0.5948275862068966,0.5792152414244387,0.5792152414244387,116,delta,50,7,29
no_count_plus_symp_ratio,rate,75,20,400,0.05,0.5862068965517241,0.5862068965517242,0.5332645066348058,0.5332645066348058,116,delta,45,7,29
no_count_plus_symp_ratio,rate,50,20,400,0.05,0.5862068965517241,0.5862068965517242,0.5332645066348058,0.5332645066348058,116,delta,42,7,29
no_count_plus_symp_ratio,rate,30,20,400,0.05,0.5862068965517241,0.5862068965517242,0.5332645066348058,0.5332645066348058,116,delta,39,7,29
all_7_plus_symp_ratio,population,75,15,400,0.05,0.5862068965517241,0.5862068965517241,0.5727751185054373,0.5727751185054374,116,delta,36,8,29
all_7_plus_symp_ratio,population,30,15,400,0.05,0.5862068965517241,0.5862068965517241,0.5727751185054373,0.5727751185054374,116,delta,30,8,29
all_7_plus_symp_ratio,population,50,15,400,0.05,0.5862068965517241,0.5862068965517241,0.5727751185054373,0.5727751185054374,116,delta,33,8,29
no_count_plus_symp_ratio,population,30,6,400,0.05,0.5775862068965517,0.5775862068965517,0.5612877480586713,0.5612877480586712,116,delta,46,7,29
no_count_plus_symp_ratio,population,30,15,400,0.05,0.5775862068965517,0.5775862068965517,0.5626953110838813,0.5626953110838813,116,delta,48,7,29
no_count_plus_symp_ratio,population,50,6,400,0.05,0.5775862068965517,0.5775862068965517,0.5612877480586713,0.5612877480586712,116,delta,49,7,29
no_count_plus_symp_ratio,population,50,15,400,0.05,0.5775862068965517,0.5775862068965517,0.5626953110838813,0.5626953110838813,116,delta,51,7,29
no_count_plus_symp_ratio,population,75,6,400,0.05,0.5775862068965517,0.5775862068965517,0.5612877480586713,0.5612877480586712,116,delta,52,7,29
all_7_plus_symp_ratio,population,30,6,400,0.05,0.5775862068965517,0.5775862068965517,0.5681195175438596,0.5681195175438597,116,delta,28,8,29
no_count_plus_symp_ratio,population,75,15,400,0.05,0.5775862068965517,0.5775862068965517,0.5626953110838813,0.5626953110838813,116,delta,54,7,29
all_7_plus_symp_ratio,population,75,6,400,0.05,0.5775862068965517,0.5775862068965517,0.5681195175438596,0.5681195175438597,116,delta,34,8,29
all_7_plus_symp_ratio,population,50,6,400,0.05,0.5775862068965517,0.5775862068965517,0.5681195175438596,0.5681195175438597,116,delta,31,8,29
all_7_norm,rate,30,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5176060786543216,0.5176060786543217,116,delta,2,7,29
all_7_norm,rate,50,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5176060786543216,0.5176060786543217,116,delta,5,7,29
all_7_norm,rate,75,15,400,0.05,0.5689655172413793,0.5689655172413793,0.5176060786543216,0.5176060786543217,116,delta,8,7,29
all_7_plus_symp_ratio,rate,75,20,400,0.05,0.5689655172413793,0.5689655172413792,0.5220004748023926,0.5220004748023928,116,delta,27,8,29
all_7_plus_symp_ratio,rate,50,20,400,0.05,0.5689655172413793,0.5689655172413792,0.5220004748023926,0.5220004748023928,116,delta,24,8,29
all_7_plus_symp_ratio,rate,30,20,400,0.05,0.5689655172413793,0.5689655172413792,0.5220004748023926,0.5220004748023928,116,delta,21,8,29
all_7_norm,rate,75,20,400,0.05,0.5603448275862069,0.5603448275862069,0.5095514486818835,0.5095514486818835,116,delta,9,7,29
all_7_norm,rate,30,20,400,0.05,0.5603448275862069,0.5603448275862069,0.5095514486818835,0.5095514486818835,116,delta,3,7,29
all_7_norm,rate,50,20,400,0.05,0.5603448275862069,0.5603448275862069,0.5095514486818835,0.5095514486818835,116,delta,6,7,29
all_7_plus_symp_ratio,rate,30,15,400,0.05,0.5603448275862069,0.5603448275862069,0.5094431009610358,0.5094431009610358,116,delta,20,8,29
all_7_plus_symp_ratio,rate,50,15,400,0.05,0.5603448275862069,0.5603448275862069,0.5094431009610358,0.5094431009610358,116,delta,23,8,29
all_7_plus_symp_ratio,rate,75,15,400,0.05,0.5603448275862069,0.5603448275862069,0.5094431009610358,0.5094431009610358,116,delta,26,8,29
all_7_plus_symp_ratio,rate,30,10,400,0.05,0.5517241379310345,0.5517241379310345,0.5024008474399091,0.5024008474399091,116,delta,19,8,29
all_7_plus_symp_ratio,rate,50,10,400,0.05,0.5517241379310345,0.5517241379310345,0.5024008474399091,0.5024008474399091,116,delta,22,8,29
all_7_norm,rate,75,10,400,0.05,0.5517241379310345,0.5517241379310345,0.49857668588710047,0.49857668588710047,116,delta,7,7,29
all_7_plus_symp_ratio,rate,75,10,400,0.05,0.5517241379310345,0.5517241379310345,0.5024008474399091,0.5024008474399091,116,delta,25,8,29
all_7_norm,rate,50,10,400,0.05,0.5517241379310345,0.5517241379310345,0.49857668588710047,0.49857668588710047,116,delta,4,7,29
all_7_norm,rate,30,10,400,0.05,0.5517241379310345,0.5517241379310345,0.49857668588710047,0.49857668588710047,116,delta,1,7,29
