hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
16,0.85,100,0.005,population,30,6,3,0.25,0.6120689655172413,0.6120689655172413,0.5989552877520185,0.5989552877520185,116,29,17,7,21
16,0.85,100,0.005,population,30,10,3,0.25,0.603448275862069,0.603448275862069,0.5935605539702731,0.5935605539702731,116,29,18,7,21
16,0.85,100,0.005,population,30,4,3,0.25,0.5775862068965517,0.5775862068965517,0.565497290968989,0.565497290968989,116,29,16,7,21
16,0.85,50,0.005,population,30,6,3,0.25,0.5689655172413793,0.5689655172413793,0.5501097942693252,0.5501097942693252,116,29,8,7,21
16,0.85,50,0.005,population,30,10,3,0.25,0.5689655172413793,0.5689655172413792,0.5488336664469906,0.5488336664469907,116,29,9,7,21
16,0.85,200,0.0005,population,30,10,3,0.25,0.5086206896551724,0.5086206896551725,0.4783549783549783,0.47835497835497837,116,29,21,7,21
16,0.85,200,0.0005,population,30,6,3,0.25,0.5,0.5,0.48548079879325917,0.48548079879325917,116,29,20,7,21
16,0.85,100,0.001,population,30,10,3,0.25,0.5,0.5,0.4816403834260977,0.4816403834260977,116,29,15,7,21
16,0.85,50,0.005,population,30,4,3,0.25,0.4827586206896552,0.48275862068965514,0.445211038961039,0.445211038961039,116,29,7,7,21
16,0.85,100,0.001,population,30,6,3,0.25,0.47413793103448276,0.47413793103448276,0.45964912280701753,0.45964912280701753,116,29,14,7,21
16,0.85,200,0.0005,population,30,4,3,0.25,0.4396551724137931,0.4396551724137931,0.4118699341438703,0.4118699341438703,116,29,19,7,21
16,0.85,100,0.001,population,30,4,3,0.25,0.39655172413793105,0.39655172413793105,0.35145839242453025,0.3514583924245302,116,29,13,7,21
16,0.85,100,0.0005,population,30,6,3,0.25,0.3879310344827586,0.3879310344827587,0.3613078356697188,0.36130783566971886,116,29,11,7,21
16,0.85,50,0.001,population,30,6,3,0.25,0.3793103448275862,0.3793103448275862,0.3480472743630638,0.3480472743630638,116,29,5,7,21
16,0.85,100,0.0005,population,30,10,3,0.25,0.3706896551724138,0.3706896551724138,0.339824611876525,0.33982461187652513,116,29,12,7,21
16,0.85,50,0.001,population,30,10,3,0.25,0.35344827586206895,0.35344827586206895,0.30257050528789664,0.30257050528789664,116,29,6,7,21
16,0.85,100,0.0005,population,30,4,3,0.25,0.31896551724137934,0.31896551724137934,0.25172354557947774,0.2517235455794778,116,29,10,7,21
16,0.85,50,0.0005,population,30,10,3,0.25,0.31896551724137934,0.31896551724137934,0.25409300022303116,0.25409300022303116,116,29,3,7,21
16,0.85,50,0.001,population,30,4,3,0.25,0.3017241379310345,0.3017241379310345,0.2339355155170006,0.23393551551700054,116,29,4,7,21
16,0.85,50,0.0005,population,30,6,3,0.25,0.29310344827586204,0.29310344827586204,0.22602793013576072,0.22602793013576067,116,29,2,7,21
16,0.85,50,0.0005,population,30,4,3,0.25,0.29310344827586204,0.29310344827586204,0.22546397272333102,0.225463972723331,116,29,1,7,21
