hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
64,0.9,50,0.005,population,30,10,3,0.25,0.6379310344827587,0.6379310344827587,0.6251811191059021,0.6251811191059021,116,29,198,7,21
64,0.95,200,0.001,population,30,6,3,0.25,0.6379310344827587,0.6379310344827587,0.6252726830911631,0.6252726830911631,116,29,239,7,21
64,0.85,200,0.001,population,30,10,3,0.25,0.6379310344827587,0.6379310344827586,0.6339401151384556,0.6339401151384556,116,29,186,7,21
64,0.9,100,0.005,population,30,6,3,0.25,0.6293103448275862,0.6293103448275863,0.6193877551020408,0.6193877551020408,116,29,206,7,21
32,0.9,100,0.005,population,30,10,3,0.25,0.6293103448275862,0.6293103448275862,0.6260025062656641,0.6260025062656641,116,29,126,7,21
64,0.85,100,0.005,population,30,6,3,0.25,0.6293103448275862,0.6293103448275862,0.6203532260361772,0.6203532260361772,116,29,179,7,21
16,0.95,100,0.005,population,30,10,3,0.25,0.6293103448275862,0.6293103448275861,0.6144334590797269,0.614433459079727,116,29,72,7,21
64,0.9,200,0.001,population,30,6,3,0.25,0.6206896551724138,0.6206896551724138,0.6095063025210085,0.6095063025210085,116,29,212,7,21
64,0.85,100,0.005,population,30,10,3,0.25,0.6206896551724138,0.6206896551724137,0.6138261323300962,0.6138261323300962,116,29,180,7,21
64,0.9,200,0.005,population,30,6,3,0.25,0.6120689655172413,0.6120689655172414,0.6079746642246642,0.6079746642246643,116,29,215,7,21
32,0.95,200,0.005,population,30,6,3,0.25,0.6120689655172413,0.6120689655172414,0.6001738007316101,0.60017380073161,116,29,161,7,21
64,0.85,100,0.001,population,30,10,3,0.25,0.6120689655172413,0.6120689655172414,0.6034236028826725,0.6034236028826725,116,29,177,7,21
64,0.95,200,0.005,population,30,4,3,0.25,0.6120689655172413,0.6120689655172413,0.5980881661913036,0.5980881661913036,116,29,241,7,21
64,0.85,100,0.005,population,30,4,3,0.25,0.6120689655172413,0.6120689655172413,0.5987076648841355,0.5987076648841355,116,29,178,7,21
16,0.9,200,0.005,population,30,6,3,0.25,0.6120689655172413,0.6120689655172413,0.6026599483990666,0.6026599483990666,116,29,53,7,21
16,0.85,100,0.005,population,30,6,3,0.25,0.6120689655172413,0.6120689655172413,0.5989552877520185,0.5989552877520185,116,29,17,7,21
64,0.9,200,0.001,population,30,10,3,0.25,0.6120689655172413,0.6120689655172413,0.6016933168715981,0.601693316871598,116,29,213,7,21
64,0.85,200,0.001,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.5920850952888461,0.592085095288846,116,29,185,7,21
16,0.85,200,0.001,population,30,10,3,0.25,0.603448275862069,0.603448275862069,0.5894634511629586,0.5894634511629586,116,29,24,7,21
