hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
32,0.95,200,0.001,population,30,10,3,0.25,0.0001,0.6724137931034483,0.6724137931034483,0.6603700635183651,0.660370063518365,116,29,snnTorch,240,tonic,2,6
32,0.9,200,0.005,population,30,10,3,0.25,0.0001,0.6724137931034483,0.6724137931034482,0.6600388431592581,0.660038843159258,116,29,snnTorch,216,tonic,2,6
32,0.9,200,0.001,population,30,10,3,0.25,0.0001,0.6637931034482759,0.6637931034482758,0.6523443306444303,0.6523443306444304,116,29,snnTorch,213,tonic,2,6
64,0.9,200,0.005,population,30,6,3,0.25,0.0001,0.6551724137931034,0.6551724137931034,0.6416013071895426,0.6416013071895424,116,29,snnTorch,296,tonic,2,6
64,0.85,100,0.005,population,30,6,3,0.25,0.0001,0.6551724137931034,0.6551724137931034,0.6368319543828265,0.6368319543828265,116,29,snnTorch,260,tonic,2,6
64,0.9,200,0.005,population,30,10,3,0.25,0.0001,0.646551724137931,0.646551724137931,0.6342414461247294,0.6342414461247293,116,29,snnTorch,297,tonic,2,6
16,0.9,200,0.005,population,30,10,3,0.25,0.0001,0.646551724137931,0.646551724137931,0.626601369145108,0.6266013691451079,116,29,snnTorch,135,tonic,2,6
64,0.85,200,0.001,population,30,10,3,0.25,0.0001,0.6379310344827587,0.6379310344827587,0.6274818401937046,0.6274818401937046,116,29,snnTorch,267,tonic,2,6
32,0.85,200,0.005,population,30,10,3,0.25,0.0001,0.6379310344827587,0.6379310344827587,0.6265287200361828,0.6265287200361828,116,29,snnTorch,189,tonic,2,6
32,0.85,200,0.001,population,30,10,3,0.25,0.0001,0.6379310344827587,0.6379310344827587,0.6259358288770054,0.6259358288770053,116,29,snnTorch,186,tonic,2,6
32,0.9,200,0.001,population,30,6,3,0.25,0.0001,0.6379310344827587,0.6379310344827587,0.6258775865040502,0.6258775865040501,116,29,snnTorch,212,tonic,2,6
64,0.85,200,0.001,population,30,4,3,0.25,0.0001,0.6379310344827587,0.6379310344827586,0.6218365967509661,0.6218365967509661,116,29,snnTorch,265,tonic,2,6
32,0.85,200,0.005,population,30,4,3,0.25,0.0001,0.6293103448275862,0.6293103448275863,0.6216611196449906,0.6216611196449906,116,29,snnTorch,187,tonic,2,6
